"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"BR","3","1","0","9","850172","5.1","4.2","","","","1.74","0.13","","0.6","0.4","0.2","0.1","1.3","0.8","0.5","4.1","8","6.1","2.1","32","12","","0.04","specific surface = 69 m2/g fine earth","1995-03-02 00:00:00",""
"BR","3","2","9","36","850173","4.9","4.2","","","","1.18","0.1","","0.2","0","0.2","0","0.4","0.7","0.5","3.5","7","4.1","1.1","11","14","","0.02","specific surface = 69 m2/g fine earth","1995-03-02 00:00:00",""
"BR","3","3","36","72","850174","4.8","4.3","","","","0.74","0.07","","0","0","0.1","0","0.1","0.5","0.7","1.8","3","2.6","0.6","6","39","","0.02","specific surface = 70 m2/g fine earth","1995-03-02 00:00:00",""
"BR","3","4","72","102","850175","5","4.5","","","","0.52","0.05","","0.1","0","0","0","0.1","0.2","0.1","1.8","3","1.8","0.3","6","6","","0.01","specific surface = 74 m2/g fine earth","1995-03-02 00:00:00",""
"BR","3","5","102","147","850176","5.7","5","","","","0.32","","","0","0","0.4","0","0.4","0.1","0","1.8","3","1.1","0.5","22","0","","0.01","specific surface = 69 m2/g fine earth","1995-03-02 00:00:00",""
"BR","3","6","147","175","850177","5.7","5.2","","","","0.25","","","0","0","0.2","0","0.2","0","0","1.1","2","0.9","0.2","18","0","","0.01","specific surface = 68 m2/g fine earth","1995-03-02 00:00:00",""
"BR","4","1","0","18","850178","6.4","5.4","","0.5","","1.98","0.17","","6.4","1.4","0","0.6","8.4","0.1","0","12","30","6.9","8.5","70","0","","0.08","specific surface = 74 m2/g fine earth","1995-03-02 00:00:00",""
"BR","4","2","18","34","850179","6.6","5.5","","0","","1.14","0.1","","4.9","0.7","0","0.1","5.7","0.1","0","8.1","13","4","5.8","70","0","","0.04","specific surface = 73 m2/g fine earth","1995-03-02 00:00:00",""
"BR","4","3","34","56","850180","6.9","5.7","","0.2","","0.89","0.07","","5.1","0.7","0.1","0","5.9","0","0","7","11","3.1","5.9","84","0","","0.03","specific surface = 74 m2/g fine earth","1995-03-02 00:00:00",""
"BR","4","4","56","90","850181","7","5.9","","0.2","","0.75","0.05","","4.7","0.6","0.1","0","5.4","0","0","6.1","10","2.6","5.4","89","0","","0.03","specific surface = 73 m2/g fine earth","1995-03-02 00:00:00",""
