"ISO","ID","WRB_RG","WRB_Q1","WRB_Q2","WRB_Q3","WRB_Q4","FAO_88","FSUB_88","PHA_88","FAOSTAT_88","FAO_74","PHA_74","FAOSTAT","USGG_99","USSG_99","USTX_92","USMIN_92","STR_92","OTH_92","SMR_92","USGG_75","USSG_75","USTX","USMIN","STR","OTH","SMR","LOCAL","REMARKS","EDITDATE","VER"
"AU","1","SN","sz","gl","","","SNg","","","True","Sg","","True","jad","ty","","","","","","aqn","AA","126","34","TH","","AQ","HAS: Solonchak; FK: Dy 1.43","","2003-12-17 00:00:00","OSP"
"AU","2","AR","fl","dy","","","ARo","dy","","True","Qf","","True","","","","","","","","esx","AA","","34","TH","","XE","HAS: Earthy Sand, Norpa Series; FK: Uc5.22","","2003-03-17 00:00:00","OSP"
"AU","3","GY","szn","cc","lv","","GYk","lu","","True","Xl","","True","","","","","","","","drb","XE08","","","","","","HAS: Desert Loam; FK: Shallow Dr1.33 over buried soil","","2003-03-11 00:00:00","OSP"
"AU","4","VR","gm","cr","sow","","VRe","","","True","Vc","","True","","","","","","","","vur","UD05","126","34","TH","","US","HAS: Grey clay; FK: Ug5.24","","2003-03-20 00:00:00","OSP"
"AU","5","VR","szw","mz","cr","","VRe","","","True","Vc","","True","","","","","","","","vxr","AA","134","34","TH","","XE","HAS: Brown clay; FK: Ug5.4","","2003-03-20 00:00:00","OSP"
"AU","6","VR","ccw","pe","gm","","VRk","pe","","True","Vp","","True","","","","","","","","vul","UD02","126","37","TH","","US","HAS: Black Earth; FK: Ug5.16","","2003-03-13 00:00:00","OSP"
"AU","7","CH","ch","cc","","","CHk","ch","","True","Ck","","True","","","","","","","","mxa","CA04","080","34","TH","","XE","HAS: Chernozem; FK: Um6.11","","2003-03-13 00:00:00","OSP"
"AU","8","PH","lv","ha","","","PHl","or","","True","Hl","","True","","","","","","","","mur","UD02","068","34","TH","","US","HAS: Prarie soil; FK: Gn3.22","","2003-03-18 00:00:00","OSP"
"AU","9","VR","cc","pe","gm","","VRk","pe","","True","Vp","","True","","","","","","","","vxl","AA","126","38","TH","","XE","HAS: Wiesenboden; FK: Ug5.16","","2003-03-19 00:00:00","OSP"
"AU","10","SN","mg","st","ab","hu","SNj","ab","","True","Ws","","True","","","","","","","","axn","AA","114","34","TH","","XE","HAS: Solodized Solonetz; FK: Dr3.43","","2003-03-20 00:00:00","OSP"
"AU","11","SN","mg","st","ab","","SNj","ab","","True","Ws","","True","","","","","","","","aun","AA","114","34","ME","","US","HAS: Soloth; FK: Dd2.41","","2003-03-26 00:00:00","OSP"
"AU","12","CM","ad","ca","cr","","CMc","ch","","True","Xh","","True","","","","","","","","eop","XE04","068","35","TH","","XE","HAS: Solonized Brown Soil, Hines Hill Series; FK: Gc.1.12","","2003-03-26 00:00:00","OSP"
"AU","13","LV","sow","fr","cr","","LVf","ch","SO","True","Lf","SO","True","","","","","","","","axa","AA","126","34","TH","","XE","HAS: Red-brown Earth, Shepparton fine sandy loam; FK: Dr2.33","","2003-03-26 00:00:00","OSP"
