"ISO","ID","HORI","TOP","BOT","SAMPLENO","KAOL","MILL","VERM","CHLOR","SMEC","HALL","MIX","QUAR","FELD","GIBB","GOET","HEM","MINX","MINY","MINZ","FE","AL","AMMFE","AMMAL","AMMSI","FEP","ALP","CP","PRET","PHNAF","ODOE","MI","CMINREM","EDITDATE","VERIFIED","CODETYPE","TYPE"
"BR","3","4","72","102","850175","8","","","","","","","","","4","5","2","","","","5.38","1.01","0.13","0.15","0.02","","","","30","","","","","1995-03-02 00:00:00","","BR0034","4"
"BR","3","5","102","147","850176","8","","","","","","","","","5","5","2","","","","5.78","1.1","0.07","0.13","0.03","","","","","","","","","1995-03-02 00:00:00","","BR0035","5"
"BR","3","6","147","175","850177","","","","","","","","","","","","","","","","5.46","1.02","0.05","0.14","0.02","","","","32","","","","","1995-03-02 00:00:00","","BR0036","6"
"BR","3","3","36","72","850174","","","","","","","","","","","","","","","","5.11","0.99","0.11","0.13","0.01","","","","28","","","","","1995-03-02 00:00:00","","BR0033","3"
"BR","4","4","56","90","850181","5","","","","","","","","","4","2","4","","","","8.17","0.67","0.69","0.37","0.04","","","","","","","","","1995-03-02 00:00:00","","BR0044","4"
"BR","4","5","90","150","850182","5","","","","","","","","","4","2","4","","","","8.18","0.66","0.75","0.29","0.03","","","","53","","","","","1995-03-02 00:00:00","","BR0045","5"
"BR","4","6","150","200","850183","","","","","","","","","","","","","","","","8.05","0.64","0.75","0.24","0.04","","","","57","","","","","1995-03-02 00:00:00","","BR0046","6"
"BR","5","5","215","250","850188","","","","","","","","","","","","","","","","10.3","0.77","0.44","0.28","0.02","","","","77","","","","","1995-03-02 00:00:00","","BR0055","5"
"BR","5","3","50","75","850186","4","","","","","","","","","4","2","4","","","","10.7","0.83","0.47","0.35","0.03","","","","","","","","","1995-03-02 00:00:00","","BR0053","3"
"BR","5","4","75","215","850187","4","","","","","","","","","4","2","4","","","","9.94","0.82","0.46","0.34","0.02","","","","71","","","","","1995-03-02 00:00:00","","BR0054","4"
"BR","6","5","165","250","850193","","","","","","","","","","","","","","","","1.8","0.11","0.04","0.07","0.01","","","","11","","","","","1995-03-02 00:00:00","","BR0065","5"
"BR","6","3","56","85","850191","8","","","2","","","","","","2","3","2","","","","1.48","0.09","0.05","0.07","0","","","","","","","","","1995-03-02 00:00:00","","BR0063","3"
"BR","6","4","85","165","850192","8","","","2","","","","","","2","3","2","","","","1.62","0.11","0.04","0.07","0","","","","9","","","","","1995-03-02 00:00:00","","BR0064","4"
"BR","7","6","175","275","850199","","","","","","","","","","","","","","","","7.74","0.61","0.88","0.23","0.05","","","","56","","","","","1995-03-02 00:00:00","","BR0076","6"
"BR","7","5","125","175","850198","7","","","","","","","","","3","3","3","","","","7.81","0.61","0.87","0.36","0.05","","","","","","","","","1995-03-02 00:00:00","","BR0075","5"
"BR","7","4","75","125","850197","7","","","","","","","","","3","3","3","","","","7.84","0.62","0.88","0.31","0.04","","","","56","","","","","1995-03-02 00:00:00","","BR0074","4"
