"ISO","ID","TYPE","NRECORD","ANNUAL","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","EDITDATE"
"CN","9","P","17","183","4","6","17","20","22","27","18","18","14","15","13","9",""
"CN","9","T","17","5.9","-18","-13.6","-1.3","10.3","17.4","22.2","24.4","22.6","16.4","7.5","-3.5","-13.2",""
"CN","9","Ta","17","12.8","-11.1","-7","4.3","17.6","24.7","29.5","31.3","30.2","24.4","15.1","2.3","-7.5",""
"CN","9","Ti","17","-1.1","-23.6","-29.7","-6.5","3.6","9.8","14.8","17.5","15.6","9.5","1.5","-7.9","-18",""
"CN","9","U","17","1.8","1.3","1.4","1.8","2.2","2.4","2.2","2.1","1.9","1.8","1.7","1.5","1.3",""
"CN","9","n","17","7.8","5.4","6.5","6.9","8.6","9.5","10.1","10.2","9.8","9.1","8","5.5","4",""
"CN","11","H","14","60.6","80","81","77","54","44","45","44","42","45","57","76","82",""
"CN","11","P","14","279","9","11","21","34","35","39","22","24","26","24","19","15",""
"CN","11","T","14","5.7","-15.4","-12.1","-4","9","15.9","21.2","23.5","22","16.8","7.4","-4.2","-11.6",""
"CN","11","Ta","14","11.5","-9.6","-6.4","0.7","15.1","22.2","27","29.6","28.4","23.4","13.4","0.7","-6.4",""
"CN","11","Ti","14","0.5","-20.3","-16.8","-8.1","3.5","9.8","15.3","17.3","16","11","2.5","-7.9","-16.1",""
"CN","11","U","14","2.1","1.4","1.5","1.8","2.6","2.8","2.6","2.5","2.5","2.4","2.1","1.6","1.3",""
"CN","11","n","14","7.5","4.9","5.6","6.2","8.1","9.4","9.8","10","9.8","9.3","7.8","4.9","3.8",""
"CN","9","Re","","15.5","6.9","10.1","14.1","19.4","22.7","24.3","24","21.6","17.6","12.6","7.5","5.3","1994-10-20 00:00:00"
"CN","11","Re","","15.2","6.6","9.4","13.4","18.8","22.6","23.9","23.7","21.6","17.9","12.5","7.1","5.3","1994-10-20 00:00:00"
"CN","9","Eo","","1059","12","14","35","98","156","176","187","164","116","67","23","11","1994-10-20 00:00:00"
"CN","11","Eo","","1084","14","13","31","92","155","176","193","178","129","69","23","11","1994-10-20 00:00:00"
"CN","64","E","27","1874.8","101.8","96","138.3","181.6","211.2","196.6","216.3","178.4","154.5","160","129.8","110.3",""
"CN","64","H","30","84.6","85","87","87","85","84","84","83","86","86","83","82","83",""
"CN","64","P","30","1684.6","23.6","30.4","52","92.8","187.6","241.2","206.7","239.5","302.8","172.4","97.6","38",""
"CN","64","Pd","30","150.2","9.2","10.1","10.2","11","16.3","16.3","14.3","16.4","16","12.2","9.6","8.6",""
"CN","64","T","30","23.8","17.2","18.2","21.6","24.9","27.4","28.1","28.4","27.7","26.8","24.8","21.8","18.7",""
"CN","64","Ta","30","28","20.9","22.3","26.2","29.8","32.4","32.8","33.2","32","30.6","28.3","25.1","22.2",""
"CN","64","Ti","30","21","14.6","15.6","18.8","21.9","24.2","25.1","25.1","24.8","24.2","22.1","19.2","16.1",""
"CN","64","U","27","2.6","2.8","2.9","2.9","3","2.6","2.4","2.4","2.2","2.3","2.6","2.9","2.6",""
"CN","64","n","30","186.7","130","114.8","146.8","188.9","242.2","223.6","257.8","218.6","197","201.8","170","148.3",""
"CN","64","nN","28","50.2","38","35","40","50","60","56","63","55","54","56","51","44",""
"CN","68","E","22","1852.9","101.1","108.7","152.6","188.5","216.5","194.4","212.3","178.7","145.3","144.6","109","101.2",""
"CN","68","H","26","82.9","84","84","82","79","80","81","81","85","87","84","84","84",""
"CN","41","n","28","238.4","210","219","253","253","283","256","238","244","255","242","206","202",""
"CN","42","E","29","1720","37","53","120","215","297","231","182","172","166","131","73","43",""
"CN","42","Te","29","63","-15","-11","-3","7","14","18","22","21","15","8","-2","-11",""
"CN","42","n","29","229","201","206","242","246","275","245","212","237","255","236","199","194",""
"CN","43","E","28","1894","38","57","129","246","339","268","213","184","172","135","72","41",""
"CN","43","n","28","241.3","212","218","251","256","290","266","246","244","257","243","209","204",""
"CN","41","P","29","486.1","1.9","2.5","3.9","19.3","34.7","79.5","160.8","108.9","43.4","22","6.7","2.5",""
"CN","41","T","29","8.4","-10.6","-7.2","0.7","10.5","18.3","22.2","24.6","23","17.3","9.7","0","-8",""
"CN","41","Ti","29","1.7","-17.4","-14.7","-6.7","2.8","10.9","16.2","19.7","17.6","10.3","2.7","-6.5","-14.4",""
"CN","41","Ta","29","15.6","-2.7","0.9","8.4","17.9","25.5","28.6","30.1","29","24.8","17.4","7.5","-0.5",""
"CN","41","A","29","2108.9","41.8","65.3","145.2","278.9","389.3","300.3","233.4","193.7","178.4","150.8","85.6","46.2",""
"CN","41","N","29","238.5","209.6","219.3","252.7","253.3","283.2","256.1","238","244.2","255.2","241.7","206.3","202.1",""
"CN","41","nN","29","65.4","71","73","68","63","63","57","52","57","69","71","70","71",""
"CN","41","H","29","51.9","44","40","38","38","41","60","73","74","64","55","50","46",""
"CN","41","Pd","29","68.5","1.5","1.6","2.1","5.1","7.3","12","13.6","11","6.5","4.2","2.3","1.3",""
"CN","41","U","29","2.5","2.2","2.5","3","3.5","3.4","2.6","2.1","1.6","1.8","2.2","2.4","2.1",""
"CN","41","R","28","495.4","435.4","448","519.2","523.4","594.5","540.1","506.6","502.4","523.4","498.2","435.4","418.7",""
"CN","42","P","30","573.9","3.7","4.7","5.4","27.5","40.7","84.6","170.6","128.4","61.5","32.7","9.6","4.5",""
"CN","42","T","30","9","-8.8","-6","1.1","9.6","17.1","21.3","24.3","23.7","18.4","10.9","1.7","-5.9",""
"CN","42","Ti","30","3.8","-13.9","-11.1","-4.3","3.9","11.2","16.5","20.5","19.4","12.9","5.3","-3.4","-11",""
"CN","42","Ta","30","14.7","-2.9","0","7.2","15.8","23.3","26.5","28.6","28.4","24.5","17.2","7.6","-0.2",""
"CN","42","A","30","1718.8","37","52.9","119.6","214.5","296.9","230.7","181.6","172.3","166.3","131.2","73.2","42.6",""
"CN","42","N","30","228.9","201.4","205.6","241.6","246.3","275.1","245.1","211.8","237.1","255.3","235.5","198.7","193.7",""
"CN","42","nN","30","63.1","68","68","66","62","62","55","47","56","69","69","67","68",""
"CN","42","H","30","58.8","50","49","48","49","52","68","80","77","66","60","55","51",""
"CN","42","Pd","30","71.8","2.2","2.1","2.7","5.3","7.5","11.6","13.2","11","7","4.9","2.8","1.5",""
"CN","42","U","30","3.3","3","3.5","4","4.6","4.2","3.4","3","2.6","2.7","3.1","3.2","2.8",""
"CN","42","R","30","431.2","245.1","309.7","457.9","536.6","624.7","586.8","527.2","535.9","484.5","381.3","264.2","220",""
"CN","43","P","29","487","1.7","2.8","3.7","18","37.5","94.3","151.1","104.1","43.7","21.2","6.7","2.2",""
"CN","49","nN","22","53.3","72","71","61","53","50","37","30","36","49","59","58","63",""
"CN","49","H","22","73.8","64","64","70","71","74","87","91","86","79","69","66","64",""
"CN","49","Pd","22","209.5","12.2","12.9","19.5","19.2","18.6","21.6","23.3","21","16.1","15.4","16.4","13.3",""
"CN","49","U","22","9.3","12.2","11.6","11","10.2","8.9","5.9","5.6","5.5","6.7","8.8","12","13.5",""
"CN","50","P","23","669.7","7.3","8.8","13.9","39.6","67","105.4","145.6","143.3","72.9","35","21.5","9.4",""
"CN","50","T","23","2.2","-18.5","-14.9","-5.3","4.3","11.6","15.9","19.8","18.5","11.4","3.7","-5.6","-14.6",""
"CN","50","Ti","23","-5.1","-26.5","-23.5","-12.6","-3.4","2.8","8.8","14.1","13.1","4.5","-4.1","-12.7","-22",""
"CN","50","Ta","23","10.3","-9.2","-5.5","2.1","12.3","20.2","23.4","26.3","25.2","20","12.9","2.5","-6.2",""
"CN","50","A","23","1227","19","30.8","70.1","143.6","228","173.5","162.1","134.9","112.9","88.7","41.5","21.9",""
"CN","50","N","23","197.9","170","185.7","218.2","215.8","242.7","214.5","209","196","200.1","203.5","165.5","153.6",""
"CN","50","nN","23","54.3","58","62","59","54","54","47","45","46","54","60","57","55",""
"CN","50","H","23","72.9","72","69","66","61","62","78","84","86","81","71","72","73",""
"CN","50","Pd","23","146.3","9.5","8.3","9.5","10.9","13.3","17","18.8","17.2","13.2","10","9.8","8.8",""
"CN","50","U","23","2","1.8","2","2.6","2.8","2.5","1.7","1.4","1.2","1.4","1.9","2.2","2",""
"CN","21","Ta","","13.7","-6","-2","6","16","23","27","29","28","24","16","6","-3",""
"CN","21","Ti","","-4.8","-28","-25","-14","-3","5","13","16","14","7","-3","-15","-25",""
"CN","53","E","27","1621","10","22","81","196","307","272","229","196","154","104","38","12",""
"CN","53","n","27","236.8","192","210","265","258","284","282","266","266","246","221","186","165",""
"CN","21","P","22","439","2","3","6","16","35","65","140","94","53","18","4","3",""
"CN","21","T","22","3.1","-20.4","-16","-5.1","5.8","14.3","20.2","22.9","20.8","14.1","4.8","-7","-17.1",""
"CN","53","P","28","432.9","1.9","2.3","6.7","15.4","31.6","64.8","137.1","93.8","57.9","13.9","4","3.5",""
"CN","53","T","28","3.2","-19.9","-15.9","-5.5","5.5","14.1","20.2","22.9","21","14.3","5","-6.7","-16.5",""
"CN","53","Ti","28","-2.6","-25.5","-22.2","-12.1","-1.3","6.9","13.9","17.9","15.8","8.8","-0.4","-11.7","-21.5",""
"CN","53","Ta","28","9.6","-13.2","-8.5","1.5","12.4","20.9","26.2","28.1","26.6","20.5","11.4","-0.8","-10.5",""
"CN","53","A","28","1619.5","9.6","21.7","81","196.3","306.5","272.4","228.7","196.2","154","104","37.5","11.6",""
"CN","53","N","27","236.8","192.3","209.9","265","257.5","284.3","282.2","265.9","265.9","246.1","221.2","186.1","165",""
"CN","53","nN","27","64.9","69","72","73","63","61","56","61","66","66","66","62","64",""
"CN","53","H","28","63.5","71","66","54","47","49","63","74","74","68","61","65","70",""
"CN","53","Pd","28","83.6","3.9","3.3","3.6","4.6","8.1","11.7","14.9","11.6","9.5","5.2","3.4","3.8",""
"CN","68","P","27","1815.5","21.5","24.4","37.1","90.2","209.6","216.3","235.8","305.5","354.1","202.1","83.7","35.2",""
"CN","68","Pd","27","163.1","10.4","10.3","9.4","10.7","17.4","16.6","16.4","18.9","18.9","13.7","11","9.4",""
"CN","68","T","26","23.2","16.9","18.2","21.6","24.9","26.9","27.4","27.5","26.7","25.7","23.6","20.5","18",""
"CN","68","Ta","26","28.6","22.2","24","27.8","31.4","32.9","32.9","33","32","30.6","28.3","25.2","22.9",""
"CN","68","Ti","26","19.8","13.5","14.7","17.8","21","23.2","24.1","23.9","23.5","22.8","20.6","17.5","14.8",""
"CN","68","U","26","2","2","1.9","1.9","1.8","1.8","1.8","1.7","1.9","2.4","2.2","2","2",""
"CN","68","n","27","172.5","133.6","123.7","155.1","181.7","221.5","205.2","234.9","198.3","169.7","171.5","140.8","134.2",""
"CN","68","nN","27","46.4","39","38","42","48","55","52","58","50","46","47","42","40",""
"CN","65","E","20","1824.3","94.9","100.5","162.9","199.6","217.8","195.4","217.6","185.3","149.7","126.8","89.9","83.9",""
"CN","65","H","21","85.6","87","87","83","82","82","84","82","86","89","88","89","88",""
"CN","65","P","21","2447.2","36.8","38.8","43.7","100.9","239.4","225.6","253.4","305.8","484.3","451.4","207.8","59.3",""
"CN","65","Pd","21","194.4","13.8","13.1","10.4","11.3","18.1","17.9","17","20.7","21.8","19","17","14.3",""
"CN","65","T","21","22.4","16.5","17.7","21.2","23.8","25.9","26.4","26.6","25.9","24.8","22.9","20","17.5",""
