"ISO","ID","TYPE","NRECORD","ANNUAL","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","EDITDATE"
"ID","11","Ep","63","1557","121","124","144","132","135","129","136","136","126","130","122","122",""
"ID","11","n","63","6.4","5.7","6.3","6.5","6.5","7.3","7.4","7.4","6.7","5.9","5.9","5.8","5.9",""
"ID","11","Ta","63","28.2","27.6","28.1","28.5","28.6","28.8","28.6","28.3","28.4","28.2","27.8","27.6","27.4",""
"ID","11","T","63","21.8","21.6","21.8","22.2","22.4","22.2","21.7","21.3","21.5","21.8","22","22","21.6",""
"ID","11","Ti","63","15.5","15.5","15.5","15.8","16.2","15.5","14.7","14.2","14.6","15.3","16.1","16.4","15.8",""
"ID","11","R","","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"ID","11","H","63","78.3","80","78","77","78","79","78","78","78","78","78","78","80",""
"ID","12","P","63","3511","334","262","284","324","240","171","170","236","279","360","407","444",""
"EC","3","P","23","1433","127","155","177","190","146","69","31","42","83","138","142","133",""
"EC","3","Ta","23","18","17.9","17.6","17.7","17.6","17.9","17.8","18.1","18.6","18.6","18.2","18.1","18.2",""
"EC","3","T","23","11.5","11.5","11.4","11.6","11.6","11.8","11.4","11.3","11.5","11.5","11.5","11.5","11.7",""
"EC","3","Ti","23","5.6","5.9","5.9","6.4","6.4","6.1","5.4","4.8","4.7","4.9","5.3","5.4","5.8",""
"EC","3","n","23","5.2","5.2","4.6","4.2","4.2","5","5.6","6.5","6.2","5.5","5.1","5.3","5.4",""
"EC","3","H","23","790","810","820","820","840","810","770","720","710","750","800","820","810",""
"EC","3","U","23","2.3","2.1","2.1","2.1","2","2.1","2.4","2.9","2.8","2.6","2.1","1.9","2",""
"EC","3","xa","23","2190","190","200","230","240","220","160","100","110","170","210","170","190",""
"EC","1","Ep","","1059","90","84","91","83","81","79","88","99","94","94","88","88",""
"EC","3","R","","17.4","17.4","17.9","17.5","16","16.5","16","17.5","18.4","18.2","17.8","17.5","17.7",""
"EC","3","Ep","","1004","86","78","85","77","81","76","86","92","92","87","80","84",""
"EC","2","P","7","858","71","93","113","99","95","26","14","24","38","81","107","97",""
"EC","4","P","","1291","109","149","240","154","71","79","85","78","94","58","76","98",""
"EC","4","T","","21.2","22.4","23.7","24","23.8","22.6","21.6","19.6","18.7","18.6","19.1","20","20.7",""
"EC","4","Ta","","24.5","25.4","27.3","28","27.9","26.1","24.6","22.6","21.7","21.7","22.2","23","23.6",""
"EC","4","Ti","","18.7","20","20.8","20.5","20.4","20","18.6","17.6","16.6","16.6","16.7","17.6","18.5",""
"EC","4","U","","3.1","2.7","2","1.7","2.8","3.3","3.8","3.3","3.2","3.2","3.1","3.4","4.4",""
"EC","4","nN","","48.8","40","60","58","62","57","57","46","42","36","39","43","46",""
"EC","4","R","","17.8","16.7","20.4","20.3","20.2","18.3","17.6","16.2","16.5","16.4","17","17.2","17.3",""
"EC","4","xa","","456.6","24.9","26.6","26.6","22.8","24.7","22.8","20","20","20","204.4","21.3","22.5",""
"EC","5","P","","471","57","139","115","88","24","4","10","6","4","6","5","13",""
"EC","5","T","","23.8","25.2","25.9","26.1","25.9","25.1","23.8","21.6","21.6","21.5","22.1","22.8","23.7",""
"EC","5","Ta","","27.4","28.8","29.8","30","29.8","28.6","27","25.8","25","24.9","25.4","26.2","27.2",""
"EC","5","Ti","","20.9","22.5","22.7","22.3","22.4","22","20.8","19.6","19","18.8","19.3","20","21.1",""
"EC","5","U","","2.8","2.5","1.8","1.5","2.6","3.1","3.6","3.1","3","3","2.9","3.2","3.2",""
"EC","5","R","","17.6","16.8","20.3","20.1","19.7","18.5","17.7","16.1","16.2","16","16.6","16.6","16.7",""
"EC","5","Ep","","1426","121","120","132","130","128","121","103","106","108","118","119","120",""
"EC","5","xa","","282.3","25.6","27.3","27.6","27.4","25.5","22.7","21","20.9","20.1","20.2","20.9","23.1",""
"EC","6","P","","3215","196","322","190","368","270","252","205","170","280","356","350","256",""
"EC","6","T","","25.4","26.1","26","25.9","25.4","25.2","24.8","24.3","25.2","25.4","25.3","25.5","25.4",""
"EC","6","U","","0.5","0.5","0.6","0.5","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.6",""
"EC","6","H","","90.6","91","90","90","90","91","92","91","91","93","90","89","89",""
"EC","6","n","","3.1","4","3.1","2.6","3.2","2.4","2.2","2.7","3","2.6","3.8","3.8","3.7",""
"EC","7","P","","3148","276","188","239","361","344","295","246","210","247","286","269","187",""
