"ISO","ID","WMOCODE","STATNAME","LONEW","LOND","LONM","LATNS","LATD","LATM","ALT","EDITDATE"
"AU","1","","Miles","E","150","11","S","26","40","307",""
"AU","2","","Beerwah CSIRO statio","E","153","1","S","26","5","12","1994-08-29 00:00:00"
"AU","3","","Caloundra (sign st.)","E","153","9","S","26","48","46","1994-08-29 00:00:00"
"BR","1","","Santa Cruz","W","43","55","S","22","56","16",""
"BR","3","","Anadia","W","36","16","S","9","38","130",""
"BR","4","","Cabaceiras","W","36","17","S","7","30","390",""
"BR","5","","Olinda-Recife","W","34","51","S","8","1","56",""
"BR","6","","Uberaba","W","47","55","S","19","44","739",""
"BR","7","","Frutal","W","48","56","S","20","2","563",""
"BR","8","","Formosa","W","47","18","S","15","32","912",""
"BR","9","","Porto Nacional","W","48","43","S","10","31","160",""
"BR","10","","Belem","W","48","27","S","1","28","24",""
"BR","11","","Belterra","W","54","53","S","2","40","31",""
"BR","12","","Curitiba","W","49","16","S","25","26","947",""
"BR","13","","Franca","W","47","26","S","20","33","1036",""
"BR","14","","Guarapuava","W","51","28","S","25","24","1116",""
"BR","15","","Guarabira","W","35","29","S","6","51","101",""
"BR","16","","Joao Pessoa","W","34","52","S","7","6","28",""
"BR","17","","Londrina","W","51","10","S","23","22","585",""
"BR","19","","Monteiro","W","37","7","S","7","53","590",""
"BR","20","9087","Muriae","W","42","23","S","21","8","0",""
"BR","21","","Nazare do Mata","W","35","15","S","7","44","87",""
"BR","22","","Palmeira dos Indios","W","36","40","S","9","25","321",""
"BR","23","","San Antonio Padua","W","42","12","S","21","32","91",""
"BR","24","","CPAC,main station","W","47","42","S","15","35","1007",""
"BW","1","","Gaborone","E","25","55","S","24","10","980","1994-09-01 00:00:00"
"BW","2","","Mahalapye","E","26","48","S","23","4","1001","1994-09-01 00:00:00"
"CA","1","","Foremost","W","111","34","N","49","30","870","1994-07-20 00:00:00"
"CI","1","","Tai","W","7","28","N","5","52","0","1994-04-11 00:00:00"
"CM","1","6576","Douala","E","9","43","N","4","1","11",""
"CN","1","","Nanjing","E","118","47","N","32","4","62",""
"CN","2","","Changsha","E","112","50","N","28","15","48",""
"CN","3","","Guangzhou","E","113","13","N","23","0","18",""
"CN","4","","Wugong","E","108","13","N","34","15","448",""
"CN","5","","Yu Zhong","E","104","9","N","35","52","1871","1994-10-20 00:00:00"
"CN","6","","Shanghai","E","121","26","N","31","12","5",""
"CN","7","","Guilin","E","110","10","N","25","15","167",""
"CN","8","","Ding Hu","E","111","56","N","23","6","0",""
"CN","9","","Changyi","E","87","18","N","44","1","577",""
"CN","10","","Turpan","E","89","12","N","42","56","35",""
"CN","11","","Urumqi","E","87","37","N","43","47","918",""
"CN","12","","Pingba","E","106","16","N","26","25","1251",""
"CN","13","","","E","110","31","N","24","12","144",""
"CN","14","","Changsha","E","112","50","N","28","12","60",""
"CN","15","","Guangzhou","E","113","13","N","23","8","15",""
"CN","16","","","E","113","19","N","23","8","7",""
"CN","17","","Chaoyang","E","120","28","N","41","27","0",""
"CN","18","","Xinchengzi","E","123","31","N","42","1","50",""
"CN","19","","Dongling","E","123","40","N","41","45","80",""
