"ISO","ID","WMOCODE","STATION","LONEW","LOND","LONM","LATNS","LATD","LATM","ALT","EDITDATE"
"ZW","4","","buffalo range","E","31","35","S","21","1","430",""
"ZW","5","","chisumbanje","E","32","14","S","20","48","421",""
"ZW","3","","makoholi research","E","30","47","S","19","50","1204",""
"ZW","6","","domboshawa t.c.","E","31","8","S","17","36","1526",""
"ZW","7","","henderson r. st.","E","30","58","S","17","35","1292",""
"CR","2","","santa rosa","","0","0","","0","0","150",""
"CR","1","","catie-turrialba","W","83","38","N","9","53","602",""
"CR","4","","los diamantes","W","83","46","N","10","13","249",""
"CR","3","","Finca Mola","W","83","47","N","10","21","75",""
"BR","1","","Santa Cruz","W","43","55","S","22","56","16",""
"BR","23","","San Antonio Padua","W","42","12","S","21","32","91",""
"BR","13","","Franca","W","47","26","S","20","33","1036",""
"BR","17","","Londrina","W","51","10","S","23","22","585",""
"BR","14","","Guarapuava","W","51","28","S","25","24","1116",""
"BR","12","","Curitiba","W","49","16","S","25","26","947",""
"BR","10","","Belem","W","48","27","S","1","28","24",""
"BR","11","","Belterra","W","54","53","S","2","40","31",""
"BR","24","","CPAC,main station","W","47","42","S","15","35","1007",""
"BR","21","","Nazare do Mata","W","35","15","S","7","44","87",""
"BR","22","","Palmeira dos Indios","W","36","40","S","9","25","321",""
"BR","3","","Anadia","W","36","16","S","9","38","130",""
"BR","16","","Joao Pessoa","W","34","52","S","7","6","28",""
"BR","15","","Guarabira","W","35","29","S","6","51","101",""
"BR","19","","Monteiro","W","37","7","S","7","53","590",""
"BR","4","","Cabaceiras","W","36","17","S","7","30","390",""
"BR","5","","Olinda-Recife","W","34","51","S","8","1","56",""
"BR","6","","Uberaba","W","47","55","S","19","44","739",""
"BR","7","","Frutal","W","48","56","S","20","2","563",""
"BR","8","","Formosa","W","47","18","S","15","32","912",""
"BR","9","","Porto Nacional","W","48","43","S","10","31","160",""
"CU","1","","Melena Del Sur","W","82","8","N","22","46","25",""
"CU","2","","Paso Real San Diego","W","83","18","N","22","33","43",""
"CU","3","","Bainoa 340","W","81","55","N","23","2","80",""
"CU","5","","Jovellanos 330","W","81","11","N","22","47","25",""
"CU","6","","Florida 350","W","78","14","N","21","31","57",""
"CU","7","","Ciego de Avila 346","W","78","47","N","21","47","26",""
"CU","8","","Sancti Spiritus 349","W","79","27","N","21","56","96",""
"CU","9","","Cienfuegos","W","80","19","N","22","18","45",""
"CU","10","","Bahia Honda","W","83","10","N","22","55","3",""
"CU","11","","Topes de Collantes","W","80","1","N","21","55","771",""
"CU","4","","Sagua la Grande 338","W","80","5","N","22","49","22",""
