"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"FR","4","3","28","46","660062","49.9","20.2","7.9","0.1","9.5","4.8","","0.7","0.1","0.2","7.2","","","","","","","2003-06-19 00:00:00","OSP"
"FR","4","4","46","85","660063","49.2","20","8","0.1","9.8","4.9","","0.7","0","0.2","7.4","","","","","","","2003-06-19 00:00:00","OSP"
"FR","4","5","85","103","660064","48.4","19.3","9.2","0.2","10.7","4.5","","0.6","0","0.2","7.8","","","","","","","2003-06-19 00:00:00","OSP"
"FR","6","1","0","10","660071","","","","","","","","","","","","","","","","","","2003-06-19 00:00:00","OSP"
"FR","6","2","10","18","660005","46.1","24.5","13.3","0.3","1.9","2.3","","1","0.2","0.4","9.2","","","","","","","2003-06-19 00:00:00","OSP"
"FR","6","3","18","26","660006","46.3","24.9","13.5","0.2","2","2.2","","0.9","0.1","0.3","9.1","","","","","","","2003-06-19 00:00:00","OSP"
"FR","6","4","26","40","660007","46.4","24.8","13.1","0.2","2.2","2.5","","0.8","0.1","0.4","8.8","","","","","","","2003-06-19 00:00:00","OSP"
"FR","6","5","40","66","660008","47","24.1","12.7","0.1","2.4","2.7","","0.8","0.1","0.5","8.9","","","","","","","2003-06-19 00:00:00","OSP"
"FR","8","1","0","13","660018","48.4","22.1","11.5","0.1","1.9","3.4","","0.8","0.1","0.4","11.3","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","2","13","25","660019","48.4","22.4","11.4","0.1","2","3.2","","0.8","0.1","0.3","11.4","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","3","25","40","660020","49.6","22.8","12.1","0.1","2","3.3","","0.9","0.1","0.3","10.5","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","4","40","57","660021","49.1","22.1","12.6","0.1","2.1","3.3","","0.9","0.1","0.3","10.4","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","5","55","75","660022","49.3","22.9","12.8","0.1","2.3","3.4","","1","0.1","0.3","10.7","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","6","55","75","660023","48.5","22.2","12.2","0.1","2.1","3.1","","0.8","0.1","0.3","10.4","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","7","57","75","660024","44.7","22.3","12.1","0.1","2.4","3.1","","0.8","0.1","0.3","10.4","","","","","","","2003-06-20 00:00:00","OSP"
"FR","8","8","77","96","660025","49.1","21.6","11.8","0.6","2.6","3.1","","0.9","0.1","0.4","10.5","","","","","","","2003-06-20 00:00:00","OSP"
"FR","9","9","96","138","660026","50.2","21.4","11.5","0.3","3.5","3.1","","0.9","0.1","0.3","10.5","","","","","","","2003-06-20 00:00:00","OSP"
"FR","11","1","0","5","660043","","","","","","","","","","","","","","","","","Organic layer, no clay","2003-06-20 00:00:00","OSP"
"FR","11","2","5","12","660044","48.9","25.4","6.5","0.4","1.2","2.1","","1.3","0","1","11.7","","3.3","20","2.8","6.1","","2003-06-20 00:00:00","OSP"
"FR","11","3","12","26","660045","48.5","27.3","4.6","0","1.2","2.4","","1.4","0","0.7","12","","3","28","2.7","9.3","","2003-06-20 00:00:00","OSP"
"FR","11","4","29","40","660046","49.2","27.3","5.2","0","1.5","2.5","","1.2","0","0.4","10.1","","3.1","25.1","2.7","8.2","","2003-06-20 00:00:00","OSP"
"FR","11","5","42","77","660047","47.3","25.1","12.6","0","1.8","2.3","","1","0","0.2","9","","3.2","10","2.4","3.1","","2003-06-20 00:00:00","OSP"
