"ISO","ID","DHOR_74","EDITDATE"
"AU","31","AL",""
"AU","31","AR",""
"BR","1","AR",""
"BR","1","OC",""
"BR","2","AR",""
"BR","2","OC",""
"BR","3","OC",""
"BR","3","OX",""
"BR","4","OC",""
"BR","4","OX",""
"BR","5","OC",""
"BR","5","OX",""
"BR","6","OC",""
"BR","6","OX",""
"BR","7","AR",""
"BR","7","OC",""
"BR","8","OX",""
"BR","8","UM",""
"BR","9","OX",""
"BR","9","UM",""
"BR","10","OX",""
"BR","10","UM",""
"BR","11","OC",""
"BR","11","OX",""
"BR","12","OX",""
"BR","12","PA",""
"BR","13","OC",""
"BR","13","OX",""
"BR","14","OX",""
"BR","15","OX",""
"BR","16","AR",""
"BR","16","MO",""
"BR","17","AL",""
"BR","17","NA",""
"BR","18","AR",""
"BR","18","FR",""
"BR","19","DU",""
"BR","19","SP",""
"BR","21","AR",""
"BR","21","MO",""
"BR","22","NA",""
"BR","22","OC",""
"BR","23","AR",""
"BR","24","OX",""
"BR","25","OX",""
"BR","26","OC",""
"BR","26","OX",""
"CI","1","AR",""
"CI","1","OC",""
"CI","2","AR",""
"CI","2","OC",""
"CI","3","AR",""
"CI","3","OC",""
"CI","4","OC",""
"CI","4","OX",""
"CI","5","CA",""
"CI","5","OC",""
"CI","6","AR",""
"CI","6","OC",""
"CI","7","AR",""
"CI","7","OC",""
"CN","1","AR",""
"CN","1","OC",""
"CN","2","CA",""
"CN","2","OC",""
"CN","3","AR",""
"CN","3","OC",""
"CN","4","CA",""
"CN","4","OC",""
"CN","5","CA",""
"CN","5","OC",""
"CN","6","AR",""
"CN","6","OC",""
"CN","7","OC",""
"CN","7","OX",""
"CN","8","CA",""
"CN","8","OC",""
"CN","9","PA",""
"CN","10","CA",""
"CN","10","OC",""
"CN","11","OC",""
"CN","12","OC",""
"CN","13","AN",""
"CN","13","OC",""
"CN","14","OC",""
"CN","14","SA",""
"CN","16","OC",""
"CN","17","AR",""
"CN","17","OC",""
"CN","18","OC",""
"CN","18","OX",""
"CN","19","AR",""
"CN","19","OC",""
"CN","19","OX",""
"CN","20","OC",""
"CN","20","OX",""
"CN","21","AR",""
"CN","21","OC",""
"CN","22","AR",""
"CN","22","OC",""
