"ISO","ID","DPRO_74","EDITDATE"
"AU","31","AT",""
"BR","2","FE",""
"BR","17","AT",""
"BR","18","AL",""
"BR","18","AT",""
"BR","27","HY",""
"BR","28","HY",""
"CI","1","FE",""
"CI","2","FE",""
"CI","3","SQ",""
"CI","5","HY",""
"CI","6","FE",""
"CI","7","FE",""
"CI","7","SQ",""
"CN","3","HY",""
"CN","4","FA",""
"CN","8","FA",""
"CN","11","TA",""
"CN","19","OR",""
"CN","22","FE",""
"CN","24","HY",""
"CN","25","WE",""
"CN","29","FA",""
"CN","30","FA",""
"CN","33","HY",""
"CN","33","SU",""
"CN","37","IF",""
"CN","39","K",""
"CN","44","FA",""
"CN","45","FA",""
"CN","47","FE",""
"CN","48","FA",""
"CN","50","LI",""
"CO","1","FE",""
"CO","3","SQ",""
"CO","5","SQ",""
"CO","7","FE",""
"CO","7","SQ",""
"CO","8","FE",""
"CO","9","FE",""
"CO","11","SC",""
"CO","11","TX",""
"CO","15","FE",""
"CO","16","FA",""
"CR","3","HY",""
"CR","6","TX",""
"CR","10","-1",""
"CR","10","MO",""
"CR","11","TX",""
"CR","11","WE",""
"CR","12","AM",""
"CR","12","TX",""
"CU","1","HY",""
"CU","3","FA",""
"CU","4","HY",""
"CU","4","VE",""
"CU","6","VE",""
"CU","12","FA",""
"CU","12","WE",""
"CU","13","HY",""
"CU","14","K",""
"CU","15","SA",""
"CU","19","VE",""
"CU","20","SL",""
"CU","21","VE",""
"DE","6","HY",""
"DE","6","MO",""
"DE","8","HY",""
"DE","8","OR",""
"EC","1","AM",""
"EC","1","DU",""
"EC","2","AM",""
"EC","2","SC",""
"EC","3","AM",""
"EC","3","SC",""
"EC","5","VE",""
"EC","6","FE",""
"EC","7","CL",""
"EC","8","AM",""
"EC","9","AM",""
"EC","14","VE",""
"EC","17","HY",""
"EC","18","AM",""
"ES","3","SL",""
"ES","3","VE",""
"ES","4","SL",""
"ES","4","VE",""
"ES","6","LI",""
"ES","10","SQ",""
"ES","11","WE",""
"ES","12","SL",""
"ES","12","WE",""
"ES","13","WE",""
"ES","15","SL",""
"ES","18","SL",""
"ES","18","WE",""
"FI","6","HY",""
"FR","11","TO",""
"GH","1","FE",""
"GH","2","HY",""
