"ISO","ID","FHOR_88","EDITDATE"
"AU","31","AL",""
"BR","1","AC",""
"BR","1","OC",""
"BR","2","AC",""
"BR","2","OC",""
"BR","3","FL",""
"BR","3","OC",""
"BR","4","FL",""
"BR","5","FL",""
"BR","6","FL",""
"BR","6","UM",""
"BR","7","AC",""
"BR","8","FL",""
"BR","8","UM",""
"BR","9","FL",""
"BR","9","UM",""
"BR","10","FL",""
"BR","10","UM",""
"BR","11","FL",""
"BR","11","OC",""
"BR","12","FI",""
"BR","12","FL",""
"BR","13","FL",""
"BR","14","FL",""
"BR","15","FL",""
"BR","16","AC",""
"BR","16","MO",""
"BR","17","NA",""
"BR","18","AC",""
"BR","19","SP",""
"BR","21","AC",""
"BR","22","NA",""
"BR","22","OC",""
"BR","23","AC",""
"BR","23","OC",""
"BR","24","OC",""
"BR","25","FL",""
"BR","25","UM",""
"BR","26","FL",""
"BR","26","OC",""
"BR","27","UM",""
"BR","28","UM",""
"BW","1","CA",""
"BW","1","OC",""
"BW","2","UM",""
"BW","3","AC",""
"BW","3","OC",""
"BW","4","AC",""
"BW","4","OC",""
"BW","5","NA",""
"BW","5","OC",""
"BW","6","OC",""
"BW","7","CA",""
"BW","7","OC",""
"CI","1","AC",""
"CI","1","OC",""
"CI","2","AC",""
"CI","2","OC",""
"CI","3","AC",""
"CI","3","OC",""
"CI","5","CA",""
"CI","5","OC",""
"CI","7","AC",""
"CI","7","OC",""
"CN","1","AC",""
"CN","1","OC",""
"CN","2","CA",""
"CN","2","OC",""
"CN","3","AC",""
"CN","3","OC",""
"CN","4","CA",""
"CN","4","OC",""
"CN","5","CA",""
"CN","5","OC",""
"CN","6","AC",""
"CN","6","OC",""
"CN","7","CA",""
"CN","7","OC",""
"CN","8","CA",""
"CN","8","OC",""
"CN","9","FI",""
"CN","10","CA",""
"CN","10","OC",""
"CN","11","OC",""
"CN","12","OC",""
"CN","13","OC",""
"CN","14","OC",""
"CN","16","OC",""
"CN","17","AC",""
"CN","17","FL",""
"CN","17","OC",""
"CN","18","FL",""
"CN","18","OC",""
"CN","19","AC",""
"CN","19","OC",""
"CN","20","AC",""
"CN","20","OC",""
"CN","21","AC",""
"CN","21","OC",""
"CN","22","AC",""
