"ISO","ID","HORI","SYMBOL","TOP","BOT","WID","TPG","HUED","VALD","CHROMD","HUE","VALUE","CHROMA","GRADE","SIZE","FORM","FORE","GRADE2","SIZE2","FORM2","FIELDTX","TXMOD","ORGK","ORGD","COND","CONM","CONWS","CONWP","CONO","PORQ","PORQ1","PORQ2","PORQ21","PORS","PORS1","PORS2","PORS21","PORC","PORC2","PORD","PORD2","PORF","PORF2","PORO","PORO2","PORT","ROQ","ROQ2","ROS","ROS2","ROL","ROL2","EFFA","EFFC","EFFL","PHVAL","REMARKS","EDITDATE","VER"
"AU","1","1","Ahz1","0","7","A","","10YR","3.5","2","10YR","2","2","WE","","AB","T","WE","","CR","FSAL","","","","","","","","","","","","","","","","","","","","","","","","","","M","","A","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","2","Ahz2","7","10","A","","10YR","3.5","1.5","10YR","3","2","MO","","AB","T","MO","","GR","C","","","","","FR","","","","","","","","","","","","","","","","","","","","","M","","A","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","3","Btn","10","18","C","","10YR","8","2","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","4","Btnk","18","28","C","","10YR","8","2","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","5","C1","28","43","A","","10YR","8","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","6","C2","43","66","D","","10YR","7","3","","","","","","","","","","","SAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","7","C3","66","91","","","10YR","6","3","","","","","","","","","","","SAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","2","1","Ah1","0","3","A","","10YR","6","4","","","","WC","","PM","","","","","CLSA","SG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","2","Ah2","3","10","D","","10YR","7","6","","","","WC","","PM","","","","","CLSA","SG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","3","C1","10","20","D","","10YR","7","8","","","","WC","","PM","","","","","LSA","SG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
