"ISO","ID","HORI","MOTTA","MOTTA2","MOTTS","MOTTS2","MOTTC","MOTTC2","MOTTB","MOTTB2","MOTTHUE","MOTTVAL","MOTTCH","MOTTHU2","MOTTVA2","MOTTCH2","CUTC","CUTT","CUTK","CUTL","INCQ","INCQ2","INCT","INCT2","INCSI","INCSI2","INCH","INCH2","INCSH","INCSH2","INCC","INCC2","ROCKQ","ROCKQ2","ROCKS","ROCKS2","ROCKW","ROCKW2","ROCKC","ROCKC2","PANK","PANC","PANY","PANS","BIOA","BIOK","BIOK2","EDITDATE","VER"
"AU","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","4","","","","","","","","","10YR","7","3","","","","","","","","Q","F","C","C","","L","S","H","","","K","K","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-12-17 00:00:00","OSP"
"AU","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","6","","","","","","","","","","","","","","","","","","","V","","S","","","","","","","","F","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","2","7","","","","","","","","","","","","","","","","","","","Q","","S","","","","","","","","F","","","","","","","","","","","","","","","","","2003-03-17 00:00:00","OSP"
"AU","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D","F","C","C","F","F","silcrete","quartz","","","","","","","","2003-03-11 00:00:00","OSP"
