"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","GRAVEL","S1","S2","S3","S4","S5","TSA","SI1","SI2","TSI","CLAY","DISPCL","BULK","PF0","PF1","PF15","PF2","PF23","PF27","PF34","PF42","COLE","SSA","PHYSREM","EDITDATE","VERIFIED","CODETYPE","TYPE"
"NI","4","5","105","145","930023","","","","","","","","","","","","12.1","1.076","56.7","55.6","52.1","47.5","40","39","32.6","27.8","","","","1995-02-21 00:00:00","","NI0045","5"
"NI","5","1","0","10","930431","","33.5","21.8","9","10.7","3.8","78.8","8.8","5.9","14.7","6.4","6.6","0.903","54.9","39.3","36","26.8","22.6","19.9","11.6","10.8","","","","1995-02-21 00:00:00","","NI0051","1"
"NI","5","2","10","30","930432","","29","27.4","10.5","10.1","4.8","81.8","6.3","6.3","12.6","5.5","2.5","0.937","48","25.3","22.2","15.2","12.9","10.8","7","6.7","","","","1995-02-21 00:00:00","","NI0052","2"
"NI","6","1","0","12","930433","","3.6","6.2","9.8","18","7.2","44.8","22.6","15","37.6","17.6","9.5","","","","","","","","","","","","","1995-02-21 00:00:00","","NI0061","1"
"NI","6","2","12","33","930434","","2.6","5.2","11.1","19.9","10.3","49.1","13.7","22.2","35.9","15.1","7.3","0.815","64.1","60.3","58.2","45.7","40.9","38.3","28","27.5","","","","1995-02-21 00:00:00","","NI0062","2"
"OM","2","4","52","106","820199","","0.6","1.7","2.1","2.7","2.8","9.9","10.4","49.2","59.6","30.6","","1.286","49.2","48.1","42.4","37.8","36.1","33.1","16.3","14.7","","","","","","OM0024","4"
"OM","2","5","106","150","820200","","13.7","13.9","26","14.7","5.9","74.2","4.9","9.1","14","11.8","","","","","","","","","","","","","","","","OM0025","5"
"OM","3","1","0","5","820201","","3.7","2.6","1.9","32.7","44.1","85","3.4","4.9","8.3","6.8","","","","","","","","","","","","","","1996-07-24 00:00:00","OSP","OM0031","1"
"OM","3","2","5","20","820202","","4.6","2.2","2.1","27.4","40.1","76.4","5.1","9.3","14.4","9.3","","","","","","","","","","","","","","1996-07-24 00:00:00","OSP","OM0032","2"
"OM","3","3","20","38","820203","","5.3","2.1","2.4","24.7","40.4","74.9","6.2","6.9","13.1","12","","","","","","","","","","","","","","1996-07-24 00:00:00","OSP","OM0033","3"
"OM","3","4","38","90","820204","","2.2","1.2","1.7","28.8","40.5","74.4","5.4","8.3","13.7","11.8","","","","","","","","","","","","","","1996-07-24 00:00:00","OSP","OM0034","4"
"OM","3","5","90","115","820205","","0.4","0.4","0.5","20.2","34.6","56.1","5.2","18.4","23.6","20.3","","","","","","","","","","","","","","1996-07-24 00:00:00","OSP","OM0035","5"
"PE","26","1","0","8","850513","14","10","33","40","10","1","94","2","3","5","1","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0261","1"
"PE","26","2","8","35","850514","","1","4","15","26","11","57","15","20","35","8","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0262","2"
"PE","26","3","35","60","850515","","0","0","0","16","14","30","17","36","53","16","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0263","3"
"PE","26","4","60","100","850516","","0","0","0","16","14","30","15","38","53","16","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0264","4"
"PE","26","5","100","150","850518","","0","0","0","16","14","30","18","35","53","17","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0265","5"
"PE","26","7","150","220","850519","","0","0","1","18","14","33","15","30","45","22","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0267","7"
"PE","26","8","220","260","850520","","0","1","2","21","13","37","14","27","41","22","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0268","8"
"PE","26","9","260","300","850521","","1","2","3","14","8","28","13","30","43","29","","","","","","","","","","","","","","1995-04-12 00:00:00","","PE0269","9"
"ML","1","1","0","6","870423","","1.8","1.5","2.2","4.8","8.6","18.9","42.5","16","58.5","22.6","9.1","1.42","42.6","41","37.3","32","29.8","24","13.2","11.8","","","","1995-05-18 00:00:00","","ML0011","1"
"ML","1","2","6","28","870424","","1.6","1.5","1.1","2.1","4.3","10.6","27.3","19","46.3","43.1","16.2","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0012","2"
"ML","1","3","28","50","870425","","1.7","1.3","0.8","1.5","3.9","9.2","27.6","21.6","49.2","41.6","10.2","1.4","47.5","46.8","40.6","35.6","34.2","30.4","20.7","20.2","","","","1995-05-18 00:00:00","","ML0013","3"
"ML","1","4","50","100","870426","","0.7","0.8","0.6","1.2","3","6.3","28.5","23.4","51.9","41.8","12.5","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0014","4"
"ML","1","5","100","141","870427","","0.4","0.7","0.8","1.8","4.2","7.9","25.7","25.2","50.9","41.2","18.2","1.45","44.7","43.8","39.9","35.8","34.7","31.7","25.5","22.8","","","","1995-05-18 00:00:00","","ML0015","5"
"AU","4","1","0","10","830065","7","6","11","15","18","11","61","8","11","19","19","10","","","","","","","","","","","","","","","AU0041","1"
"AU","4","2","10","33","830066","0","4","10","16","19","9","58","7","11","18","23","13","","","","","","","","","","","","","","","AU0042","2"
"AU","4","3","33","65","830067","0","4","9","13","15","7","48","6","10","16","36","18","","","","","","","","","","","","","","","AU0043","3"
"AU","4","4","65","90","830068","0","2","8","11","13","6","40","6","10","16","44","15","","","","","","","","","","","","","","","AU0044","4"
"AU","4","5","90","120","830069","0","3","15","28","37","10","93","2","1","3","3","1","","","","","","","","","","","","","","","AU0045","5"
"AU","4","6","120","150","830070","0","3","14","29","34","10","90","2","2","4","6","5","","","","","","","","","","","","","","","AU0046","6"
"AU","4","7","150","174","830071","20","3","12","25","32","10","82","5","6","11","8","6","","","","","","","","","","","","","","","AU0047","7"
"MZ","2","1","0","15","830008","","0.1","1.7","9.8","20.1","9.7","41.4","8.2","13.6","21.8","36.9","11.6","1.14","54","50","42","31","28","26","20","19","","","","1994-06-16 00:00:00","","MZ0021","1"
"MZ","2","2","15","30","830009","","0.1","1.6","5.8","12.4","6.9","26.8","4.6","5.6","10.2","63","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0022","2"
"MZ","2","3","30","50","830010","","0.2","1.3","5.2","11.5","6.5","24.7","4.8","6.9","11.7","63.5","0","1.16","51","50","44","35","32","30","25","24","","","","1994-06-16 00:00:00","","MZ0023","3"
"MZ","2","4","65","90","830011","","0.1","1.3","6.2","14.1","8.2","29.9","9.3","12","21.3","48.9","0","1.04","55","52","46","34","29","26","22","22","","","","1994-06-16 00:00:00","","MZ0024","4"
"MZ","2","5","130","150","830012","","0.2","1.1","3.6","9.6","8.2","22.7","6.8","8.5","15.3","62.1","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0025","5"
"MZ","2","7","240","280","830014","","0.4","2.3","4.4","8.7","6.7","22.5","7","14.2","21.2","56.2","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0027","7"
"MZ","2","8","350","370","830015","","0.2","1.9","4.7","8.8","6.6","22.2","6.2","24.9","31.1","46.7","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0028","8"
"MZ","2","9","550","560","830016","","0.1","2.7","9.4","16","9.1","37.3","6.8","33.5","40.3","22.3","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0029","9"
"MZ","3","1","0","5","830017","","0.4","2.9","8.3","14.6","7.8","34","7.2","19.1","26.3","39.8","28.5","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0031","1"
"MZ","3","2","5","17","830018","","0.4","2.7","7.3","12.6","6.7","29.7","4.3","12.2","16.5","53.7","17.4","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0032","2"
"MZ","3","3","17","30","830019","","0.4","2.3","5.4","8.8","5.2","22.1","4.5","6.2","10.7","67.2","21.8","1.24","54","52","41","33","30","28","27","25","","","","1994-06-16 00:00:00","","MZ0033","3"
"MZ","3","4","30","60","830020","","0.3","1.8","4","6.7","3.8","16.6","4.5","6.3","10.8","72.6","1.5","1.26","51","50","41","35","33","31","30","29","","","","1994-06-16 00:00:00","","MZ0034","4"
"MZ","3","5","65","95","830021","","0.4","1.9","4.4","7.5","4.3","18.5","5.4","14.3","19.7","61.8","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0035","5"
"MZ","3","6","130","160","830022","","0.4","1.6","3","6","4.5","15.5","7.1","15.3","22.4","62.1","0","1.11","56","54","47","36","31","28","25","24","","","","1994-06-16 00:00:00","","MZ0036","6"
"MZ","3","7","230","290","830023","","1.9","4","4.3","5.6","4.2","20","8.6","15.4","24","56","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0037","7"
"MZ","3","8","330","390","830024","","0.5","2.2","3.5","5.7","4.9","16.8","9.8","23.8","33.6","49.5","0","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0038","8"
"MZ","3","9","600","670","830025","","0.2","1.3","4.4","8.9","6.6","21.4","24.2","36.9","61.1","17.4","","","","","","","","","","","","","","1994-06-16 00:00:00","","MZ0039","9"
