"ISO","ID","UHOR_92","EDITDATE"
"CN","42","OC",""
"CN","43","KA",""
"CN","43","OC",""
"CN","44","CB",""
"CN","44","OC",""
"CN","45","CB",""
"CN","45","OC",""
"CN","46","AR",""
"CN","46","OC",""
"CN","47","AR",""
"CN","47","OC",""
"CN","48","CB",""
"CN","48","OC",""
"CN","49","AR",""
"CN","49","MO",""
"CN","50","CB",""
"CN","50","OC",""
"CN","51","CB",""
"CN","51","OC",""
"CO","8","AR",""
"CO","16","CB",""
"CO","18","OX",""
"CU","1","CB",""
"CU","1","OC",""
"CU","2","CB",""
"CU","2","OC",""
"CU","3","CB",""
"CU","3","OC",""
"CU","4","CB",""
"CU","4","OC",""
"CU","5","OC",""
"CU","5","OX",""
"CU","6","CB",""
"CU","6","OC",""
"CU","7","OC",""
"CU","7","OX",""
"CU","8","CB",""
"CU","8","OC",""
"CU","9","AR",""
"CU","9","MO",""
"CU","10","MO",""
"CU","11","CB",""
"CU","11","OC",""
"CU","12","CA",""
"CU","12","OC",""
"CU","13","OC",""
"CU","14","CB",""
"CU","14","OC",""
"CU","15","CA",""
"CU","15","CB",""
"CU","15","OC",""
"CU","16","CA",""
"CU","16","CB",""
"CU","16","MO",""
"CU","17","CB",""
"CU","17","OC",""
"CU","18","CB",""
"CU","18","MO",""
"CU","19","CA",""
"CU","19","CB",""
"CU","19","OC",""
"CU","20","CA",""
"CU","20","CB",""
"CU","20","OC",""
"CU","21","CB",""
"CU","21","OC",""
"CU","22","OC",""
"CU","22","OX",""
"DE","11","CB",""
"DE","11","OC",""
"ES","1","AR",""
"ES","1","OC",""
"ES","2","AR",""
"ES","2","OC",""
"ES","3","OC",""
"ES","4","AR",""
"ES","4","OC",""
"ES","5","OC",""
"ES","5","PC",""
"ES","6","OC",""
"ES","7","CA",""
"ES","7","OC",""
"ES","8","AG",""
"ES","8","OC",""
"ES","9","CA",""
"ES","9","OC",""
"ES","11","CA",""
"ES","11","OC",""
"ES","12","CL",""
"ES","12","MO",""
"ES","13","CA",""
"ES","13","CL",""
"ES","13","OC",""
"ES","15","AR",""
"ES","15","OC",""
"ES","20","CB",""
"ES","20","OC",""
"ES","20","PC",""
"FI","6","OC",""
"FR","11","AR",""
