"ISO","ID","UPRO_92","EDITDATE"
"AU","31","AB",""
"BR","18","AB",""
"BR","27","AQ",""
"BR","28","AQ",""
"BW","1","FL",""
"BW","2","SL",""
"BW","3","AQ",""
"BW","5","AQ",""
"BW","7","PL",""
"CN","3","AQ",""
"CN","24","AA",""
"CN","25","WM",""
"CN","33","AQ",""
"CN","33","SF",""
"CN","37","IF",""
"CN","39","SC",""
"CN","42","AN",""
"CN","46","AQ",""
"CN","50","LC",""
"CU","1","SL",""
"CU","4","AQ",""
"CU","4","SL",""
"CU","6","SL",""
"CU","9","SL",""
"CU","13","AQ",""
"CU","13","SL",""
"CU","18","SL",""
"CU","19","SL",""
"CU","20","SL",""
"CU","21","SL",""
"ES","3","SL",""
"ES","4","SL",""
"ES","6","LC",""
"ES","11","WE",""
"ES","12","SL",""
"ES","12","WE",""
"ES","13","WE",""
"ES","15","SL",""
"FI","6","EN",""
"GH","102","PL",""
"IE","9","SP",""
"IN","4","AQ",""
"IN","8","SL",""
"IN","10","SL",""
"IN","12","SL",""
"IT","11","CO",""
"IT","11","SL",""
"IT","13","AQ",""
"IT","13","SL",""
"IT","15","SL",""
"IT","16","AN",""
"IT","17","SC",""
"KE","3","AQ",""
"KE","18","AB",""
"KE","18","EP",""
"KE","19","AB",""
"KE","19","EP",""
"KE","22","AT",""
"KE","25","AQ",""
"KE","32","SL",""
"KE","33","AQ",""
"KE","33","AT",""
"KE","35","AN",""
"KE","37","AN",""
"KE","38","AN",""
"KE","41","AQ",""
"KE","49","AQ",""
"KE","56","SL",""
"KE","64","AB",""
"KE","66","PC",""
"NA","9","SL",""
"NI","5","AN",""
"PE","19","AN",""
"RO","2","SC",""
"RW","1","AN",""
"RW","2","AN",""
"TH","4","AQ",""
"TR","18","SL",""
"US","17","AQ",""
"US","17","PE",""
"UY","1","AB",""
"UY","1","EP",""
"ZA","11","AB",""
"ZA","11","AQ",""
"ZM","11","LE",""
"ZM","11","SL",""
"ZW","11","MA",""
"ZW","11","PL",""
