"ISO","ID","HORI","TOP","BOT","SAMPLENO","HEAVY","LIGHT","QUARTZ","K_FELDSPAR","PLAGIOCLAS","REST","OPAQUE","SMINREM","EDITDATE","VERIFIED"
"IE","9","1","0","7","670084","","","","","","","","","1996-08-16 00:00:00","OSP"
"IE","9","2","7","40","670085","1.3","98.7","81","7","12","","11","","1996-08-16 00:00:00","OSP"
"IE","9","3","40","49","670086","1.3","98.7","84","6","10","","19","","1996-08-16 00:00:00","OSP"
"IE","9","4","49","62","670087","4.2","95.8","87","6","7","","42","","1996-08-16 00:00:00","OSP"
"IE","9","5","62","87","670088","3.9","96.1","82","8","10","","23","","1996-08-16 00:00:00","OSP"
"TH","2","1","0","10","670111","4.6","95.4","100","","","","3","","1994-03-08 00:00:00",""
"TH","2","2","15","30","670112","5.2","94.8","100","","","","9","","1994-03-08 00:00:00",""
"TH","2","3","150","170","670113","10","90","100","","","","41","","1994-03-08 00:00:00",""
"TH","4","1","2","15","670116","4","96","91","5","4","","32","","1994-03-08 00:00:00",""
"TH","4","2","70","80","670117","1.5","98.5","89","8","3","","44","","1994-03-08 00:00:00",""
"TH","4","3","115","125","670118","","","88","7","5","","25","","1994-03-08 00:00:00",""
"TH","11","1","0","22","670141","0.1","99.9","100","","","","24","","1994-03-08 00:00:00",""
"TH","11","2","22","39","670142","0.1","99.9","99","","1","","17","","1994-03-08 00:00:00",""
"TH","11","3","39","85","670143","0.2","99.8","100","","","","24","","1994-03-08 00:00:00",""
"TH","12","1","0","15","670144","0.1","99.9","99","","1","","41","","1994-03-08 00:00:00",""
"TH","12","2","15","40","670145","0.1","99.9","100","","","","38","","1994-03-08 00:00:00",""
"TH","12","3","40","90","670146","0.1","99.9","99","","1","","40","","1994-03-08 00:00:00",""
"TH","12","4","90","115","670147","0.1","99.9","100","","","","33","","1994-03-08 00:00:00",""
"TH","13","1","0","13","670148","0.1","99.9","100","","","","24","","1994-03-08 00:00:00",""
"TH","13","3","25","98","670150","0.1","99.9","100","","","","28","","1994-03-08 00:00:00",""
"TH","13","4","98","135","670151","0.1","99.9","100","","","","22","","1994-03-08 00:00:00",""
"SE","14","3","3","10","680087","4.4","95.6","55","23","22","","9","","1994-03-08 00:00:00",""
"SE","14","5","20","30","680089","4.9","95.1","54","32","14","","7","","1994-03-08 00:00:00",""
"SE","14","7","48","70","680091","3.5","96.5","52","30","18","","8","","1994-03-08 00:00:00",""
"SE","17","2","0","15","680104","2.8","97.2","68","18","14","","8","","1994-03-08 00:00:00",""
