"ISO","ID","SMONTH","SYEAR","AUTH","LOC","LATNS","LATD","LATM","LATS","LONEW","LOND","LONM","LONS","ALT","CLIM","PAR","PAR2","MODE","MODE2","TEXT","TEXT2","DEPTH","WEAT","WEAT2","REST1","REST2","PARREM","LNDREG","LNDTOP","PHYS","SLP","POS","SLF","ASP","KND","PTRN","VAR","ROCK","STON","STSI","STSH","CRA","SEA","SALT","ALKALI","SODE","WAKE","WADE","WAUP","WALO","STAUP","STALO","STAPE","RUN","FLFR","FLNA","DRAIN","DRAINI","MOIDU","MOIDL","MOIMU","MOIML","MOIWU","MOIWL","ERT","ERT2","ERD","ERD2","AGGR","MASS","LUT","CROP","IRR","ROT","IMP","VET","VES","VED","ADPC","ADMM","COMNAME","DESCR","REMARKS","EDITDATE","VERIFIED"
"AU","1","11","1952","Blackburn G. CSIRO Division of Soils","Tintinara, Upper South-east, South Australia","S","35","56","","E","140","4","","19","Csb","Y0","","L","","CL","LO","","","","","","","CP","F","former lagoon","0","D","","","","","","0","0","","","0","","M","M","","A","","30","100","","","S","V","","","2","","","","","","","","","","","","","","GR","","","","","H","","VEGETATION: Cladium filum, Distichlis, Distichophylla, Agropyrum sp., Danthonia sp. and Salicornia sp.","False","False","","","No samples.","2003-12-17 00:00:00","OSP"
"AU","2","11","1966","Bettenay E., CSIRO Division of Soils","Merridin District, Western Australia","S","31","28","","E","118","13","","305","Bsa","Y0","","C","","SA","","","","","","","","","U","long slope","5","M","S","","","","","0","0","","","0","0","0","0","90","W","","","","","","","","N","","4","","0","110","","","","","","","","","","","","","","","","SX","","VEGETATION: Eucalyptus burracoppinensis (mallee), Melaleuca sp. (broombrush), Grevillea spp.and Hakea spp.","False","False","","","","",""
"AU","3","10","1966","Jessup R.W., CSIRO Division of Soils","Whyalla, South Australia","S","32","51","","E","137","32","","55","BSh","Y0","","L","","SA","","","S","","M","","","PU","F","summit","0","F","S","","","","","0","ES","","","","C","R","R","175","N","","","","","","H","S","N","","4","","0","170","","","","","","","","","","","","","","","","SX","","VEGETATION: saltbush (Atriplex vesicaria)","False","False","","","REFERENCE: Handbook of Australian Soils, p. 64-66","2003-03-10 00:00:00","OSP"
"AU","4","9","1966","Hubble G.D., CSIRO Division of Soils","Chinchilla District, Queensland","S","26","43","","E","150","36","","304","Cfa","T0","GY","","Y","GR","SC","250","S","P","M","M","Jura walloon coal me","UP","U","bottom of depression","0","D","","NNE","G","R","12","0","FS","10","P","C","S","0","0","128","W","100","80","125","","","M","P","M","B","5","6","","","90","","85","150","S","R","M","S","N","M","gr","FD","0","0","IC","H","D","VEGETATION: native forest was cleared. Original species: Acacia harpophilla and Casuarina cristata.

LAND USE: sparse grazing of volunteer herbage. Nearby AT for dairy and fattening + ACW + ACS.","True","False","","","REFERENCE: Handbook of Australian Soils, p. 88

PROFILE DESCRIPTION: black inclusions in Ah +Au1 
Au1: in cracks material from Ah, common very fine roots.
Au2: mottles along cracks, common very fine roots.
Au3: in top large root
Au4: structure is paralellepiped breaking to fine

1.5cm on top has platy material (10YR5/2, moist) with some red gravel (1.5cm). Most roots along cracks; pores mainly between peds, few inside peds.","",""
"AU","5","7","1966","Sleeman J.R., CSIRO Division of Soils","Riverina, New South Wales","S","35","21","","E","144","51","","91","BSk","Y0","","A","","CL","","","","","","","","AF","F","","0","F","","","","","","","","","","","","","","166","N","","","","","","S","P","","","1","","0","40","40","166","","","","","","","N","","GR","","0","","","","","","False","False","","","REFERENCE: Handbook of Australian Soils, p. 103-106","2003-03-11 00:00:00","OSP"
"AU","6","10","1966","Thompson C.H., CSIRO Division of Soils","Darling Downs, Queensland","S","27","33","","E","151","31","","396","Cfa","BT","","C","","CL","","","","","","","Tertiary basalt cap over Jurassic Wallon sandstone and shales","PP","F","lower midslope","2","M","C","","G","L","300","0","0","","","L","0","S","","280","N","","","","","","S","V","I","","0","1","","","0","280","","","","","","","","","GR","","","","","H","","VEGETATION: Herbaceous species: Mentha saturejoides (penny royal), Plantago varia (lambs tongue), Swainsona galegifolia (Darling pea), Bassia sp., Calotis cuneata (daisy burr), Glycine tomentosa. Graminaceous species: Panicum queenslandicum (tussock grass), Themeda avenacea (tall oat-grass), Chloris pectinata (windmill grass)","False","False","","","","2003-03-13 00:00:00","OSP"
"AU","7","5","1966","Blackburn G., CSIRO Division of Soils","Mount Gambier, South-east District, South Australia","S","37","51","","E","140","47","","76","Cwb","E3","L0","H","","LO","","","P","S","","","","CB","F","slope","2","M","S","S","","","","0","0","","","0","0","","","90","N","","","","","","H","M","N","","5","","","","","","","","","","","","","","NA","","0","","","","C","LAND USE: Sheep and cattle grazing nearby.","False","False","","","REFERENCE: Handbook of Australian Soils, p.132-133","2003-03-13 00:00:00","OSP"
"AU","8","11","1966","McGarity J.W., Univ. of New England","Northern Tablelands, New South Wales","S","29","1","","E","152","2","","823","Cfb","I6","","","","","","","","","","","adamellite porphyrite","BA","U","slope","3","U","","N","","","","0","0","","","0","0","0","0","90","N","","","","","","H","","N","","4","","0","70","70","90","","","R","","","","","","","","","","","WD","","VEGETATION: Savannah woodland of Eucalyptus melliodora (yellow box), E. dalrympleana (mountain gum), E. bridgesiana (long-leaf box).

LAND USE: In the surrounding area the soil is used for intensive grazing of sheep and cattle, horticulture (pome and stone fruits) and some cropping to maize with limited areas for tobacco growing.","False","False","","","REFERENCE: Handbook of Australian Soils, p. 142-144","2003-03-18 00:00:00","OSP"
"AU","9","9","1952","Litchfield W.H.","Adelaide, South Australia","S","34","58","","E","138","39","","134","Csa","B5","","A","C","CL","","","","","","","","PA","U","alluvial fan","","M","","","G","","","0","0","","","","","","","168","N","","","","","","M","","","","2","","","","","","","","","","","","","","PA","","0","","IC","","","LAND USE: land has been cleared for pasture. Sown pasture of Phalaris, subterranean clover, burr medic, and Wimmera rye grass.  

VEGETATION: relict vegetation nearby: Eucalyptus odorata (peppermint gum), Junus pauciflorus","False","False","","","","2003-03-18 00:00:00","OSP"
"AU","10","5","1966","Blackburn G., CSIRO Division of Soils","Kybybolite Research Centre, South-east District, South Australia","S","36","54","","E","140","56","","101","Csb","Y0","","U","","SA","CL","20","","","","","","UP","U","slope","","","","W","","","","0","0","","","0","","","","90","P","","","","20","90","S","S","","","2","","","","","","","","","","","","","","PA","","0","","IC","","","LAND USE: land has been cleared for pasture. Improved pasture for sheep and cattle grazing.

VEGETATION: originally savannah woodland. Remaining trees: mostly Eucalyptus camuldulensis (red gum) and E. leucoxylon (South Australian blue gum).","False","False","","","","2003-03-19 00:00:00","OSP"
