"ISO","ID","HORI","TOP","BOT","SAMPLENO","CAS","MGS","NAS","KS","SUMCAT","CO3","HCO3","CL","SO4","NO3","SUMANI","EC5","ECE","PHS","SAR","SALTREM","EDITDATE","VERIFIED","TYPE"
"US","16","4","48","81","841068","1.9","1.5","0.5","0.1","4","0","3.1","0.2","0.6","0","3.9","","0.39","7.8","0.38","Data NSSL, Lincoln","2004-04-19 00:00:00","OSP",""
"US","16","5","81","104","841069","1.8","2","0.7","0.1","4.6","0","2.9","0.2","0.7","0.4","4.2","","0.43","7.9","0.51","Data NSSL, Lincoln","2004-04-19 00:00:00","OSP",""
"US","16","6","104","152","841070","1.6","2","0.8","0.1","4.5","0","2.6","0.2","1","0.4","4.2","","0.45","7.9","0.6","Data NSSL, Lincoln","2004-04-19 00:00:00","OSP",""
"US","26","1","0","8","870953","","","","","","","","","","","","","","","","","2004-05-17 00:00:00","OSP",""
"US","26","2","8","18","870954","","","","","","","","","","","","","","","","","2004-05-17 00:00:00","OSP",""
"US","26","3","18","30","870955","","","","","","","","","","","","","","","","","2004-05-17 00:00:00","OSP",""
"US","26","4","30","45","870956","","","","","","","","","","","","","","","","","2004-05-17 00:00:00","OSP",""
"US","26","5","45","63","870957","9.5","5.9","33.9","0.5","49.8","0","2.8","35.4","8.1","0.3","46.6","","4.93","7.3","","","2004-05-17 00:00:00","OSP",""
"US","26","6","63","75","870958","17.4","9.1","37.2","0.4","64.1","0","1.4","44.2","12.5","0.5","58.6","","6.19","7.6","","","2004-05-17 00:00:00","OSP",""
"US","26","7","75","105","870959","5.6","2.5","5.9","0.3","14.3","0","2.1","9.7","1.4","0.1","13.3","","1.53","7.9","","","2004-05-17 00:00:00","OSP",""
"US","26","8","105","138","870960","1.7","0.9","1","0.3","3.9","0","2.4","0.5","0.6","0.1","3.6","","0.38","8.4","","","2004-05-17 00:00:00","OSP",""
"US","26","9","138","163","870961","0.8","0.8","3.1","0.1","4.8","0","2.9","0.3","1.2","0","4.4","","0.46","8.4","","","2004-05-17 00:00:00","OSP",""
"US","22","1","0","12","850959","11.3","0.3","0.3","0.2","12.1","0","9.3","0.5","1","0","10.8","","1.01","6.9","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","2","12","30","850960","8.3","0.2","0.2","0.1","8.8","0","6.3","0.4","0.9","0","7.6","","0.74","7.1","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","3","30","50","850961","7.1","0.2","0.3","0.1","7.7","0","4.8","0.3","0.5","0","5.6","","0.65","7.3","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","4","50","80","850962","6.5","0.2","0.3","0.1","7.1","0","4.4","0.4","0.6","0","5.4","","0.6","7.4","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","5","80","110","850963","","","","","","","","","","","","","0.24","","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","6","110","150","850964","","","","","","","","","","","","","0.2","","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","7","150","220","850965","","","","","","","","","","","","","0.19","","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","22","8","220","265","850966","","","","","","","","","","","","","0.21","","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","23","1","0","14","850948","11.3","0.4","0.3","0.3","12.3","0","10.3","1.1","1.9","0","13.3","","1.15","6.9","","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
