"ISO","ID","HORI","TOP","BOT","SAMPLENO","HEAVY","LIGHT","QUARTZ","K_FELDSPAR","PLAGIOCLAS","REST","OPAQUE","SMINREM","EDITDATE","VERIFIED"
"IE",9,1,0,7,"670084",,,,,,,,"","16.08.1996","OSP"
"IE",9,2,7,40,"670085",1.29999995231628,98.6999969482422,81,7,12,,11,"","16.08.1996","OSP"
"IE",9,3,40,49,"670086",1.29999995231628,98.6999969482422,84,6,10,,19,"","16.08.1996","OSP"
"IE",9,4,49,62,"670087",4.19999980926514,95.8000030517578,87,6,7,,42,"","16.08.1996","OSP"
"IE",9,5,62,87,"670088",3.90000009536743,96.0999984741211,82,8,10,,23,"","16.08.1996","OSP"
"TH",2,1,0,10,"670111",4.59999990463257,95.4000015258789,100,,,,3,"","08.03.1994",""
"TH",2,2,15,30,"670112",5.19999980926514,94.8000030517578,100,,,,9,"","08.03.1994",""
"TH",2,3,150,170,"670113",10,90,100,,,,41,"","08.03.1994",""
"TH",4,1,2,15,"670116",4,96,91,5,4,,32,"","08.03.1994",""
"TH",4,2,70,80,"670117",1.5,98.5,89,8,3,,44,"","08.03.1994",""
"TH",4,3,115,125,"670118",,,88,7,5,,25,"","08.03.1994",""
"TH",11,1,0,22,"670141",0.100000001490116,99.9000015258789,100,,,,24,"","08.03.1994",""
"TH",11,2,22,39,"670142",0.100000001490116,99.9000015258789,99,,1,,17,"","08.03.1994",""
"TH",11,3,39,85,"670143",0.200000002980232,99.8000030517578,100,,,,24,"","08.03.1994",""
"TH",12,1,0,15,"670144",0.100000001490116,99.9000015258789,99,,1,,41,"","08.03.1994",""
"TH",12,2,15,40,"670145",0.100000001490116,99.9000015258789,100,,,,38,"","08.03.1994",""
"TH",12,3,40,90,"670146",0.100000001490116,99.9000015258789,99,,1,,40,"","08.03.1994",""
"TH",12,4,90,115,"670147",0.100000001490116,99.9000015258789,100,,,,33,"","08.03.1994",""
"TH",13,1,0,13,"670148",0.100000001490116,99.9000015258789,100,,,,24,"","08.03.1994",""
"TH",13,3,25,98,"670150",0.100000001490116,99.9000015258789,100,,,,28,"","08.03.1994",""
"TH",13,4,98,135,"670151",0.100000001490116,99.9000015258789,100,,,,22,"","08.03.1994",""
"SE",14,3,3,10,"680087",4.40000009536743,95.5999984741211,55,23,22,,9,"","08.03.1994",""
"SE",14,5,20,30,"680089",4.90000009536743,95.0999984741211,54,32,14,,7,"","08.03.1994",""
"SE",14,7,48,70,"680091",3.5,96.5,52,30,18,,8,"","08.03.1994",""
"SE",17,2,0,15,"680104",2.79999995231628,97.1999969482422,68,18,14,,8,"","08.03.1994",""
"SE",17,3,15,20,"680105",3.29999995231628,96.6999969482422,62,21,17,,5,"","08.03.1994",""
"SE",17,5,35,50,"680107",5.80000019073486,94.1999969482422,66,21,13,,2,"","08.03.1994",""
"SE",17,7,65,80,"680109",6.09999990463257,93.9000015258789,68,20,12,,4,"","08.03.1994",""
"ES",3,1,0,10,"700021",0.300000011920929,99.6999969482422,95,2,3,,39,"","08.03.1994",""
"ES",3,3,25,50,"700023",0.5,99.5,91,5,4,,34,"","08.03.1994",""
"ES",3,5,70,90,"700025",0.300000011920929,99.6999969482422,93,4,3,,48,"","08.03.1994",""
"ES",3,7,110,130,"700027",0.200000002980232,99.8000030517578,91,3,6,,42,"","08.03.1994",""
"ES",4,1,0,12,"700028",,,92,6,2,,43,"","08.03.1994",""
"ES",4,7,40,52,"700034",,,88,7,5,,53,"","08.03.1994",""
"ES",4,9,75,95,"700036",,,90,7,3,,47,"","08.03.1994",""
"ES",10,1,0,12,"700064",,,100,,,,57,"","08.03.1994",""
"MY",51,1,0,10,"730064",1.29999995231628,98.6999969482422,100,,,,36,"","08.03.1994",""
"MY",51,2,7,15,"730065",0.200000002980232,99.8000030517578,99,,1,,3,"","08.03.1994",""
"MY",51,3,30,50,"730066",0.200000002980232,99.8000030517578,100,,,,4,"","08.03.1994",""
"MY",51,4,80,88,"730067",0.200000002980232,99.8000030517578,100,,,,58,"","08.03.1994",""
"MY",51,5,88,92,"730068",0.300000011920929,99.6999969482422,100,,,,49,"","08.03.1994",""
"MY",56,5,83,120,"730097",0.200000002980232,99.8000030517578,85,1,2,12,,"REST=aggregates. Not enough material: opaque dominant with a few zircone- and sillimanite-grains.","08.03.1994",""
"MY",57,5,100,120,"730103",0.600000023841858,99.4000015258789,98,1,1,,78,"","08.03.1994",""
"ES",18,1,0,15,"740025",0.800000011920929,99.1999969482422,100,4,1,,50,"","08.03.1994",""
"ES",18,3,27,42,"740027",0.699999988079071,99.3000030517578,95,2,3,,50,"","08.03.1994",""
"ES",18,6,66,82,"740030",0.600000023841858,99.4000015258789,96,2,2,,53,"","08.03.1994",""
"ES",18,8,102,118,"740032",0.5,99.5,97,2,1,,46,"","08.03.1994",""
"ZA",2,2,20,35,"750008",0.5,99.5,99,1,,,76,"","08.03.1994",""
"ZA",2,4,50,65,"750010",0.400000005960464,99.5999984741211,100,,,,85,"","08.03.1994",""
"ZA",2,6,80,95,"750012",0.400000005960464,99.5999984741211,99,1,,,88,"","08.03.1994",""
"ZA",2,8,110,125,"750014",0.600000023841858,99.3000030517578,100,,,,87,"","08.03.1994",""
"ZA",11,1,0,15,"750062",0.100000001490116,99.9000015258789,98,1,1,,25,"","28.02.1996","OSP"
"ZA",11,2,15,23,"750063",0.100000001490116,99.9000015258789,100,0,0,,27,"","28.02.1996","OSP"
"ZA",11,3,23,45,"750064",0.100000001490116,99.9000015258789,100,0,0,,16,"","28.02.1996","OSP"
"ZA",11,4,45,60,"750065",0.100000001490116,99.9000015258789,100,0,0,,21,"","28.02.1996","OSP"
"ZA",11,6,70,100,"750067",0.200000002980232,99.8000030517578,100,,,,33,"","08.03.1994",""
"ZA",20,6,100,120,"750121",0.600000023841858,99.4000015258789,100,,,,70,"","08.03.1994",""
"ZA",21,1,0,20,"750123",0.899999976158142,99.0999984741211,100,,,,77,"","08.03.1994",""
"ZA",21,3,40,60,"750125",0.400000005960464,99.5999984741211,100,,,,51,"","08.03.1994",""
"ZA",21,6,100,120,"750128",0.5,99.5,100,,,,60,"","08.03.1994",""
"ZA",21,8,140,160,"750130",1.20000004768372,98.8000030517578,100,,,,70,"","08.03.1994",""
"IN",9,4,68,150,"770039",0.100000001490116,99.9000015258789,95,4,1,,,"Not enough material: dominant opaque with Fe-concretions and a few  zircone minerals.","08.03.1994",""
"ZM",2,1,0,7,"770063",,,100,,,,52,"","08.03.1994",""
"ZM",2,2,7,20,"770064",,,99,1,,,55,"","08.03.1994",""
"ZM",2,3,20,40,"770065",,,100,,,,73,"","08.03.1994",""
"ZM",2,4,40,70,"770066",,,99,1,,,50,"","08.03.1994",""
"ZM",2,5,70,100,"770067",1.5,98.5,100,,,,49,"Many Fe-concretions in the opaque grains.","08.03.1994",""
"ZM",2,6,100,130,"770068",,,100,,,,52,"","08.03.1994",""
"ZM",2,7,130,155,"770069",,,100,,,,46,"","08.03.1994",""
"ZM",4,6,80,110,"770082",17.6000003814697,82.4000015258789,100,,,,100,"Some zircone- and 1 hypersthene- mineral(s).","08.03.1994",""
"ZM",5,5,72,106,"770088",0.200000002980232,99.8000030517578,100,,,,33,"","08.03.1994",""
"ZM",8,5,100,130,"770106",0.200000002980232,99.8000030517578,100,,,,37,"","08.03.1994",""
"ZM",9,4,110,-1,"770111",0.100000001490116,99.9000015258789,100,,,,,"Not enough material. In transparant minerals many tourmaline and zircone, also a few rutile minerals","08.03.1994",""
"NG",1,1,0,11,"780001",,,100,,,,83,"","08.03.1994",""
"NG",1,2,11,20,"780002",,,98,1,1,,85,"","08.03.1994",""
"NG",1,3,20,45,"780003",,,100,,,,86,"","08.03.1994",""
"NG",1,4,45,70,"780004",,,99,1,,,85,"","08.03.1994",""
"NG",1,5,70,90,"780005",,,98,1,1,,86,"","08.03.1994",""
