"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"AU",4,1,0,10,"830065",78.7,13.5,3.9,0.5,0.6,0.6,0.3,1.1,0.08,0.05,6.7,0,,,,,"","","","AU0041"
"AU",4,7,150,174,"830071",80,13.3,4,0.2,0.7,0.5,0.7,1.09,0.15,0.04,5.2,0,,,,,"","","","AU0047"
"TH",1,1,0,15,"670107",60.1,20.4,5.7,0.31,0.65,1.21,,0.94,0.02,0.06,11.6,101,5,28.1,4.2,5.6,"","18.05.1995","","TH0011"
"TH",1,2,27,48,"670108",52.6,18.5,15.5,0.22,0.75,1.57,,0.99,0.01,0.04,10.3,100.5,4.8,9,3.1,1.9,"","18.05.1995","","TH0012"
"TH",1,3,64,93,"670109",53.4,18.3,11.8,0.18,0.55,2.3,,0.94,0.01,0.02,12.4,99.9,5,12,3.5,2.4,"","18.05.1995","","TH0013"
"TH",1,4,93,120,"670110",62.5,21.9,3.1,0.18,0.86,1.77,,1.1,0.01,0.02,9.5,100.9,4.8,53.7,4.4,11.1,"","18.05.1995","","TH0014"
"TH",2,1,0,10,"670111",66.8,12.4,5,3.76,0.59,0.07,,1.19,0.18,0.06,11.5,101.6,9.1,35.6,7.3,3.9,"","18.05.1995","","TH0021"
"TH",2,2,15,30,"670112",57.2,11.9,5,12.83,0.6,0.06,,0.67,0.38,0.09,13.6,102.3,8.2,30.5,6.4,3.7,"","18.05.1995","","TH0022"
"TH",2,3,150,170,"670113",32,6.9,2.4,34.93,0.65,0.04,,0.26,0.27,0.22,22.2,99.9,7.9,35.5,6.4,4.5,"","18.05.1995","","TH0023"
"TH",4,1,2,15,"670116",55.2,23.5,5.5,0.62,1.31,3.15,,0.92,0.02,0.11,10.7,101,4,26.7,3.5,6.7,"","19.07.1996","OSP","TH0041"
"TH",4,2,70,80,"670117",56.9,21.7,6.5,0.77,1.13,2.55,,0.87,0.12,0.08,9.3,99.9,4.5,23.3,3.7,5.2,"","19.07.1996","OSP","TH0042"
"TH",4,3,115,125,"670118",75.7,12.4,3.7,0.58,0.69,2.23,,0.62,0.12,0.06,4.5,100.6,10.4,54.5,8.7,5.3,"","19.07.1996","OSP","TH0043"
"TH",6,1,0,8,"670122",78.4,10,3.1,0.57,0.6,3.51,,0.62,0.06,0.22,5.2,102.3,13.3,67.3,11.1,5.1,"","18.05.1995","","TH0061"
"TH",6,2,8,13,"670123",77.3,10,2.9,0.46,0.69,3.5,,0.65,0.06,0.2,4.9,100.7,13.1,71,11.1,5.4,"","18.05.1995","","TH0062"
"TH",6,3,60,70,"670124",68.7,15.9,5.4,0.33,0.99,4.1,,0.84,0.09,0.17,5.5,102,7.3,33.9,6,4.6,"","18.05.1995","","TH0063"
"TH",8,1,0,15,"670129",57.5,16.7,7.3,0.13,0.3,1.09,,1.8,0.07,0.17,15.5,100.6,5.8,21,4.6,3.6,"","18.05.1995","","TH0081"
"TH",8,2,15,22,"670130",58.8,17.8,7.8,0.07,0.27,1.09,,1.85,0.04,0.17,13,100.9,5.6,20.1,4.4,3.6,"","18.05.1995","","TH0082"
"TH",8,3,22,36,"670131",59,19,8.9,0.07,0.29,1.17,,1.95,0.02,0.13,9.7,100.2,5.3,17.6,4.1,3.3,"","18.05.1995","","TH0083"
"TH",8,4,36,100,"670132",52.4,22.3,11.6,0.05,0.33,1.78,,1.79,0.02,0.1,9.4,99.8,4,12,3,3,"","18.05.1995","","TH0084"
"TH",8,5,100,0,"670133",53.9,21.6,12.1,0.06,0.33,1.48,,1.75,0.08,0.11,8.9,100.3,4.2,11.9,3.1,2.8,"","18.05.1995","","TH0085"
"TH",9,1,0,6,"670134",29.4,23.1,19.5,0.08,0.42,0.13,,4.43,0.64,1.09,19.3,98.1,2.2,4,1.4,1.9,"","18.05.1995","","TH0091"
"TH",9,2,6,30,"670135",29,26.1,21.7,0.13,0.47,0.14,,5.01,0.96,1.22,14.2,98.9,1.9,3.6,1.2,1.9,"","18.05.1995","","TH0092"
"TH",9,3,30,70,"670136",29.4,26.9,22.3,0.07,0.45,0.12,,5.17,0.64,1.18,12.4,98.6,1.9,3.5,1.2,1.9,"","18.05.1995","","TH0093"
"TH",9,4,70,150,"670137",29.1,25.8,22.3,0.07,0.48,0.13,,5.18,0.59,1.13,12,96.8,1.9,3.5,1.2,1.8,"","18.05.1995","","TH0094"
"TH",10,1,0,6,"670138",52.7,18.6,12.2,0.1,0,0.06,,1.65,0.15,0.06,14.8,100.3,4.8,11.5,3.4,2.4,"","18.05.1995","","TH0101"
"TH",10,2,7,29,"670139",48.7,21.9,15.5,0,0,0.06,,1.89,0.14,0.05,12.1,100.3,3.8,8.4,2.6,2.2,"","18.05.1995","","TH0102"
